date,issue_id,root_cause_category,recurrence_flag
2024-01-01,ISS-001,設備不良,0
2024-01-02,ISS-002,作業ミス,0
2024-01-03,ISS-003,材料不良,1
2024-01-04,ISS-004,設計不良,0
2024-01-05,ISS-005,管理不備,0
2024-01-06,ISS-006,設備不良,1
2024-01-07,ISS-007,作業ミス,0
2024-01-08,ISS-008,材料不良,0
2024-01-09,ISS-009,設計不良,1
2024-01-10,ISS-010,管理不備,0
2024-01-15,ISS-011,設備不良,0
2024-01-20,ISS-012,作業ミス,1
2024-01-25,ISS-013,材料不良,0
2024-02-01,ISS-014,設計不良,0
2024-02-05,ISS-015,管理不備,1
2024-02-10,ISS-016,設備不良,0
2024-02-15,ISS-017,作業ミス,0
2024-02-20,ISS-018,材料不良,1
2024-02-25,ISS-019,設計不良,0
2024-02-28,ISS-020,管理不備,0
