date,event_type,room_name,guests,food_revenue,beverage_revenue,room_fee,total_revenue,status
2024-01-05,婚礼,鳳凰の間,150,1200000,250000,100000,1550000,完了
2024-01-08,忘年会,桜の間,80,480000,120000,50000,650000,完了
2024-01-10,新年会,梅の間,60,300000,80000,30000,410000,完了
2024-01-12,会議,会議室A,30,150000,30000,0,180000,完了
2024-01-15,懇親会,桜の間,100,500000,150000,40000,690000,完了
2024-01-18,婚礼,鳳凰の間,120,1000000,200000,80000,1280000,完了
2024-01-20,新年会,梅の間,70,350000,90000,35000,475000,完了
2024-01-22,会議,会議室A,25,100000,20000,0,120000,完了
2024-01-25,誕生日,桜の間,50,250000,60000,25000,335000,完了
2024-02-02,忘年会,鳳凰の間,90,540000,130000,60000,730000,完了
2024-02-05,婚礼,鳳凰の間,160,1400000,300000,120000,1820000,完了
2024-02-08,懇親会,梅の間,75,375000,100000,35000,510000,完了
2024-02-10,新年会,桜の間,65,325000,85000,32000,442000,完了
2024-02-12,会議,会議室A,40,200000,40000,0,240000,完了
2024-02-15,誕生日,梅の間,45,225000,50000,20000,295000,完了
2024-02-18,婚礼,鳳凰の間,140,1100000,220000,90000,1410000,完了
2024-02-20,忘年会,桜の間,85,510000,125000,55000,690000,完了
2024-02-22,懇親会,会議室A,50,250000,70000,0,320000,完了
2024-02-25,新年会,梅の間,70,350000,90000,35000,475000,完了
2024-03-03,会議,会議室A,35,175000,35000,0,210000,完了
2024-03-05,婚礼,鳳凰の間,150,1200000,250000,100000,1550000,完了
2024-03-08,懇親会,桜の間,95,475000,140000,45000,660000,完了
2024-03-10,新年会,梅の間,60,300000,80000,30000,410000,完了
2024-03-12,誕生日,会議室A,30,150000,30000,0,180000,完了
2024-03-15,忘年会,梅の間,80,480000,120000,50000,650000,完了
2024-03-18,婚礼,鳳凰の間,155,1300000,270000,110000,1680000,完了
2024-03-20,懇親会,桜の間,75,375000,100000,35000,510000,完了
2024-03-22,新年会,会議室A,50,250000,70000,0,320000,完了
2024-03-25,会議,梅の間,40,200000,40000,0,240000,完了
2024-04-02,婚礼,鳳凰の間,145,1150000,240000,95000,1485000,完了
2024-04-05,懇親会,桜の間,85,425000,110000,40000,575000,完了
2024-04-08,新年会,梅の間,65,325000,85000,32000,442000,完了
2024-04-10,誕生日,会議室A,35,175000,35000,0,210000,完了
2024-04-15,忘年会,鳳凰の間,95,570000,140000,65000,775000,完了
2024-04-18,婚礼,梅の間,130,1000000,180000,70000,1250000,完了
2024-04-20,懇親会,桜の間,70,350000,90000,30000,470000,完了
2024-04-22,会議,会議室A,45,225000,45000,0,270000,完了
2024-05-05,婚礼,鳳凰の間,170,1500000,350000,130000,1980000,完了
2024-05-10,新年会,梅の間,60,300000,80000,30000,410000,完了
2024-06-02,懇親会,桜の間,80,400000,120000,35000,555000,完了
