work_date,staff_id,store_name,role,start_time,end_time,work_hours,hourly_rate,source_file,daily_wage,is_overtime,labor_cost_flag
2024-01-21,ST-004,渋谷店,レジ,12:00,16:30,4.5,1071,shift_styleA_202401.csv,4819.5,0,標準
2024-01-24,ST-004,銀座店,レジ,16:00,19:30,3.5,1216,shift_styleA_202401.csv,4256.0,0,標準
2024-01-02,ST-001,渋谷店,ホール,11:00,17:00,6.0,1013,shift_styleA_202401.csv,6078.0,0,標準
2024-01-18,ST-007,銀座店,レジ,16:00,21:30,5.5,1229,shift_styleA_202401.csv,6759.5,0,標準
2024-01-19,ST-009,渋谷店,ホール,14:00,19:00,5.0,1079,shift_styleA_202401.csv,5395.0,0,標準
2024-01-07,ST-011,渋谷店,ホール,14:00,17:36,3.6,1433,shift_styleA_202401.csv,5158.8,0,標準
2024-01-12,ST-020,新宿店,ホール,15:00,21:12,6.2,1498,shift_styleA_202401.csv,9287.6,0,高コスト
2024-01-30,ST-013,渋谷店,レジ,12:00,20:00,8.0,1316,shift_styleA_202401.csv,10528.0,0,高コスト
2024-01-29,ST-012,銀座店,ホール,09:00,12:17,3.3,1116,shift_styleA_202401.csv,3682.7999999999997,0,標準
2024-01-25,ST-010,渋谷店,ホール,09:00,14:17,5.3,1232,shift_styleA_202401.csv,6529.599999999999,0,標準
2024-01-21,ST-012,渋谷店,キッチン,13:00,17:17,4.3,1136,shift_styleA_202401.csv,4884.8,0,標準
2024-01-23,ST-003,銀座店,レジ,10:00,16:12,6.2,1125,shift_styleA_202401.csv,6975.0,0,標準
2024-01-06,ST-015,新宿店,キッチン,18:00,25:05,7.1,1112,shift_styleA_202401.csv,7895.2,0,標準
2024-01-22,ST-011,渋谷店,ホール,08:00,15:47,7.8,1205,shift_styleA_202401.csv,9399.0,0,高コスト
2024-01-09,ST-003,渋谷店,レジ,13:00,17:17,4.3,1255,shift_styleA_202401.csv,5396.5,0,標準
2024-01-13,ST-015,渋谷店,キッチン,10:00,14:30,4.5,1287,shift_styleA_202401.csv,5791.5,0,標準
2024-01-18,ST-009,銀座店,レジ,14:00,22:24,8.4,1204,shift_styleA_202401.csv,10113.6,1,高コスト
2024-01-12,ST-008,渋谷店,レジ,15:00,18:30,3.5,1024,shift_styleA_202401.csv,3584.0,0,標準
2024-01-28,ST-004,渋谷店,レジ,10:00,17:47,7.8,1216,shift_styleA_202401.csv,9484.8,0,高コスト
2024-01-20,ST-003,新宿店,キッチン,17:00,26:00,9.0,1270,shift_styleA_202401.csv,11430.0,1,高コスト
2024-01-09,ST-018,渋谷店,レジ,09:00,16:05,7.1,1274,shift_styleA_202401.csv,9045.4,0,標準
2024-01-25,ST-009,銀座店,キッチン,09:00,13:47,4.8,1080,shift_styleA_202401.csv,5184.0,0,標準
2024-01-15,ST-001,銀座店,レジ,12:00,20:48,8.8,1390,shift_styleA_202401.csv,12232.000000000002,1,高コスト
2024-01-06,ST-017,渋谷店,レジ,12:00,20:05,8.1,1259,shift_styleA_202401.csv,10197.9,1,高コスト
2024-01-20,ST-007,渋谷店,キッチン,10:00,16:12,6.2,1398,shift_styleA_202401.csv,8667.6,0,標準
2024-01-30,ST-017,渋谷店,レジ,13:00,18:54,5.9,1057,shift_styleA_202401.csv,6236.3,0,標準
2024-01-30,ST-012,新宿店,ホール,08:00,12:24,4.4,1290,shift_styleA_202401.csv,5676.000000000001,0,標準
2024-01-31,ST-003,渋谷店,レジ,15:00,22:54,7.9,1500,shift_styleA_202401.csv,11850.0,0,高コスト
2024-01-25,ST-018,渋谷店,ホール,18:00,23:54,5.9,1281,shift_styleA_202401.csv,7557.900000000001,0,標準
2024-01-06,ST-009,銀座店,レジ,14:00,22:48,8.8,1475,shift_styleA_202401.csv,12980.000000000002,1,高コスト
2024-01-18,ST-007,銀座店,キッチン,14:00,23:00,9.0,1332,shift_styleA_202401.csv,11988.0,1,高コスト
2024-01-12,ST-015,銀座店,キッチン,09:00,13:30,4.5,1032,shift_styleA_202401.csv,4644.0,0,標準
2024-01-11,ST-001,銀座店,レジ,11:00,17:30,6.5,1003,shift_styleA_202401.csv,6519.5,0,標準
2024-01-03,ST-002,渋谷店,ホール,08:00,16:11,8.2,1036,shift_styleA_202401.csv,8495.199999999999,1,標準
2024-01-17,ST-008,新宿店,レジ,15:00,19:17,4.3,1067,shift_styleA_202401.csv,4588.099999999999,0,標準
2024-01-24,ST-019,銀座店,キッチン,11:00,18:42,7.7,1413,shift_styleA_202401.csv,10880.1,0,高コスト
2024-01-14,ST-007,渋谷店,ホール,18:00,23:35,5.6,1216,shift_styleA_202401.csv,6809.599999999999,0,標準
2024-01-14,ST-015,銀座店,ホール,18:00,24:54,6.9,1330,shift_styleA_202401.csv,9177.0,0,標準
2024-01-04,ST-002,新宿店,レジ,13:00,20:47,7.8,1055,shift_styleA_202401.csv,8229.0,0,標準
2024-01-08,ST-007,渋谷店,レジ,15:00,18:47,3.8,1093,shift_styleA_202401.csv,4153.4,0,標準
2024-01-09,ST-015,渋谷店,ホール,15:00,22:47,7.8,1438,shift_styleA_202401.csv,11216.4,0,高コスト
