date,crop,product_name,category,quantity_kg,unit_price,total_cost,field_area_ha,application_reason
2024-01,トマト,殺虫剤A,殺虫剤,5,8000,40000,2.0,病害虫対策
2024-01,トマト,殺菌剤B,殺菌剤,3,6000,18000,2.0,予防
2024-01,トマト,窒素肥料C,窒素肥料,50,500,25000,2.0,定期施肥
2024-01,キャベツ,殺虫剤D,殺虫剤,4,7500,30000,1.5,病害虫対策
2024-01,キャベツ,除草剤E,除草剤,2,5000,10000,1.5,予防
2024-01,キャベツ,カリ肥料F,カリ肥料,40,600,24000,1.5,定期施肥
2024-02,ほうれん草,殺虫剤A,殺虫剤,3,8000,24000,1.0,病害虫対策
2024-02,ほうれん草,リン酸肥料G,リン酸肥料,30,800,24000,1.0,生育促進
2024-02,じゃがいも,殺菌剤H,殺菌剤,4,7000,28000,2.5,予防
2024-02,じゃがいも,窒素肥料C,窒素肥料,60,500,30000,2.5,定期施肥
2024-03,トマト,殺虫剤A,殺虫剤,6,8000,48000,2.0,病害虫対策
2024-03,トマト,殺菌剤B,殺菌剤,4,6000,24000,2.0,予防
2024-03,トマト,リン酸肥料G,リン酸肥料,35,800,28000,2.0,生育促進
2024-03,キャベツ,除草剤E,除草剤,3,5000,15000,1.5,予防
2024-03,キャベツ,カリ肥料F,カリ肥料,45,600,27000,1.5,定期施肥
2024-04,ほうれん草,殺虫剤D,殺虫剤,4,7500,30000,1.0,病害虫対策
2024-04,ほうれん草,殺菌剤B,殺菌剤,2,6000,12000,1.0,予防
2024-04,ほうれん草,窒素肥料C,窒素肥料,40,500,20000,1.0,定期施肥
2024-04,じゃがいも,殺虫剤A,殺虫剤,7,8000,56000,2.5,病害虫対策
2024-04,じゃがいも,カリ肥料F,カリ肥料,50,600,30000,2.5,定期施肥
2024-05,トマト,殺虫剤D,殺虫剤,5,7500,37500,2.0,病害虫対策
2024-05,トマト,除草剤E,除草剤,3,5000,15000,2.0,予防
2024-05,トマト,リン酸肥料G,リン酸肥料,40,800,32000,2.0,生育促進
2024-05,キャベツ,殺菌剤H,殺菌剤,5,7000,35000,1.5,予防
2024-05,キャベツ,窒素肥料C,窒素肥料,55,500,27500,1.5,定期施肥
2024-06,ほうれん草,殺虫剤D,殺虫剤,5,7500,37500,1.0,病害虫対策
2024-06,ほうれん草,殺菌剤B,殺菌剤,3,6000,18000,1.0,予防
2024-06,ほうれん草,リン酸肥料G,リン酸肥料,35,800,28000,1.0,生育促進
2024-06,じゃがいも,除草剤E,除草剤,4,5000,20000,2.5,予防
2024-06,じゃがいも,カリ肥料F,カリ肥料,55,600,33000,2.5,定期施肥
2024-07,トマト,殺虫剤A,殺虫剤,7,8000,56000,2.0,病害虫対策
2024-07,トマト,殺菌剤H,殺菌剤,5,7000,35000,2.0,予防
2024-07,トマト,窒素肥料C,窒素肥料,50,500,25000,2.0,定期施肥
2024-07,キャベツ,殺虫剤D,殺虫剤,5,7500,37500,1.5,病害虫対策
2024-07,キャベツ,リン酸肥料G,リン酸肥料,42,800,33600,1.5,生育促進
2024-08,ほうれん草,殺菌剤B,殺菌剤,4,6000,24000,1.0,予防
2024-08,ほうれん草,カリ肥料F,カリ肥料,45,600,27000,1.0,定期施肥
2024-08,じゃがいも,殺虫剤A,殺虫剤,6,8000,48000,2.5,病害虫対策
2024-08,じゃがいも,除草剤E,除草剤,5,5000,25000,2.5,予防
2024-09,トマト,殺虫剤D,殺虫剤,6,7500,45000,2.0,病害虫対策
2024-09,トマト,リン酸肥料G,リン酸肥料,38,800,30400,2.0,生育促進
2024-09,キャベツ,殺菌剤H,殺菌剤,6,7000,42000,1.5,予防
2024-09,キャベツ,窒素肥料C,窒素肥料,60,500,30000,1.5,定期施肥
2024-10,ほうれん草,殺虫剤A,殺虫剤,4,8000,32000,1.0,病害虫対策
2024-10,ほうれん草,殺菌剤B,殺菌剤,3,6000,18000,1.0,予防
2024-10,ほうれん草,リン酸肥料G,リン酸肥料,40,800,32000,1.0,生育促進
2024-10,じゃがいも,カリ肥料F,カリ肥料,58,600,34800,2.5,定期施肥
2024-11,トマト,殺虫剤D,殺虫剤,5,7500,37500,2.0,病害虫対策
2024-11,トマト,除草剤E,除草剤,4,5000,20000,2.0,予防
2024-11,キャベツ,殺菌剤B,殺菌剤,4,6000,24000,1.5,予防
2024-11,キャベツ,窒素肥料C,窒素肥料,50,500,25000,1.5,定期施肥
2024-12,ほうれん草,殺虫剤D,殺虫剤,3,7500,22500,1.0,病害虫対策
2024-12,ほうれん草,カリ肥料F,カリ肥料,40,600,24000,1.0,定期施肥
2024-12,じゃがいも,殺菌剤H,殺菌剤,5,7000,35000,2.5,予防
2024-12,じゃがいも,窒素肥料C,窒素肥料,65,500,32500,2.5,定期施肥
