receipt_date,case_no,property_name,room_no,claim_type,status,response_days,work_hours,source_file,is_resolved,urgency,cost_estimate
2024-03-24,A-2024010001,ブルーC棟,0404,騒音,解決済,24,1.0,claims_styleA_202401.csv,1,遅延,5000.0
2024-03-18,A-2024010002,サンシャインA棟,1007,設備故障,対応中,8,1.0,claims_styleA_202401.csv,0,緊急,5000.0
2024-01-20,A-2024010003,サンシャインA棟,0904,その他,解決済,21,6.0,claims_styleA_202401.csv,1,遅延,30000.0
2024-02-19,A-2024010004,ブルーC棟,0103,その他,解決済,14,3.0,claims_styleA_202401.csv,1,遅延,15000.0
2024-02-25,A-2024010005,ブルーC棟,0202,害虫,解決済,4,3.0,claims_styleA_202401.csv,1,通常,15000.0
2024-02-26,A-2024010006,サンシャインA棟,0802,害虫,解決済,3,6.0,claims_styleA_202401.csv,1,通常,30000.0
2024-02-20,A-2024010007,ブルーC棟,1004,その他,対応中,13,0.5,claims_styleA_202401.csv,0,遅延,2500.0
2024-03-10,A-2024010008,サンシャインA棟,0402,害虫,解決済,9,5.0,claims_styleA_202401.csv,1,遅延,25000.0
2024-03-06,A-2024010009,ブルーC棟,0604,その他,対応中,39,8.0,claims_styleA_202401.csv,0,遅延,40000.0
2024-03-21,A-2024010010,グリーンB棟,0904,騒音,解決済,15,4.0,claims_styleA_202401.csv,1,遅延,20000.0
2024-02-21,A-2024010011,シルバーE棟,0406,設備故障,未対応,39,0.5,claims_styleA_202401.csv,0,緊急,2500.0
2024-02-03,A-2024010012,グリーンB棟,1006,騒音,解決済,21,5.0,claims_styleA_202401.csv,1,遅延,25000.0
2024-02-21,A-2024010013,ホワイトD棟,0305,騒音,対応中,36,6.0,claims_styleA_202401.csv,0,遅延,30000.0
2024-03-19,A-2024010014,ホワイトD棟,1007,水漏れ,解決済,8,1.5,claims_styleA_202401.csv,1,遅延,7500.0
2024-03-25,A-2024010015,サンシャインA棟,0203,その他,解決済,6,8.0,claims_styleA_202401.csv,1,通常,40000.0
2024-02-13,A-2024010016,ホワイトD棟,1008,駐車,解決済,9,6.0,claims_styleA_202401.csv,1,遅延,30000.0
2024-01-04,A-2024010017,シルバーE棟,0506,設備故障,対応中,42,4.0,claims_styleA_202401.csv,0,緊急,20000.0
2024-01-24,A-2024010018,ブルーC棟,0903,駐車,解決済,30,1.0,claims_styleA_202401.csv,1,遅延,5000.0
2024-03-21,A-2024010019,シルバーE棟,1004,騒音,解決済,12,1.5,claims_styleA_202401.csv,1,遅延,7500.0
2024-03-17,A-2024010020,サンシャインA棟,1006,害虫,未対応,12,1.0,claims_styleA_202401.csv,0,遅延,5000.0
2024-02-27,A-2024010021,ブルーC棟,0401,騒音,対応中,77,1.0,claims_styleA_202401.csv,0,遅延,5000.0
2024-01-27,A-2024010022,サンシャインA棟,0903,騒音,対応中,89,5.0,claims_styleA_202401.csv,0,遅延,25000.0
2024-03-17,A-2024010023,シルバーE棟,0704,駐車,解決済,25,2.0,claims_styleA_202401.csv,1,遅延,10000.0
2024-03-22,A-2024010024,ブルーC棟,0808,設備故障,解決済,8,2.0,claims_styleA_202401.csv,1,遅延,10000.0
