date,customer,category,severity,status
2024-01-01,顧客A,寸法不良,軽微,完了
2024-01-05,顧客B,外観不良,中程度,対応中
2024-01-10,顧客C,機能不良,重大,完了
2024-01-15,顧客D,包装不良,軽微,完了
2024-01-20,顧客A,寸法不良,中程度,対応中
2024-01-25,顧客B,機能不良,軽微,完了
2024-02-02,顧客C,外観不良,重大,対応中
2024-02-05,顧客A,包装不良,中程度,完了
2024-02-10,顧客D,寸法不良,軽微,完了
2024-02-12,顧客B,外観不良,軽微,対応中
2024-02-15,顧客A,機能不良,中程度,完了
2024-02-18,顧客C,寸法不良,重大,対応中
2024-02-20,顧客D,外観不良,中程度,完了
2024-02-22,顧客B,包装不良,軽微,完了
2024-02-25,顧客A,寸法不良,軽微,完了
2024-02-26,顧客C,機能不良,中程度,対応中
2024-02-27,顧客D,外観不良,軽微,完了
2024-02-28,顧客A,包装不良,重大,対応中
2024-02-28,顧客B,寸法不良,軽微,完了
2024-02-28,顧客C,外観不良,中程度,完了
