日付,管理番号,店舗,コース区分,人数,金額,状態,理由
2024/01/16,C00001,銀座店,個室コース,2,18000,来店済み,
2024/01/05,C00002,銀座店,ランチ,9,36000,来店済み,
2024/01/19,C00003,新宿店,個室コース,1,17000,来店済み,
2024/01/18,C00004,新宿店,ディナー,2,20000,キャンセル,その他
2024/01/12,C00005,銀座店,ランチ,7,21000,キャンセル,忘れ
2024/01/24,C00006,新宿店,ランチ,6,12000,来店済み,
2024/01/05,C00007,銀座店,ランチ,10,40000,来店済み,
2024/01/06,C00008,渋谷店,飲み放題,9,45000,来店済み,
2024/01/03,C00009,銀座店,個室コース,8,144000,キャンセル,体調不良
2024/01/26,C00010,銀座店,個室コース,1,12000,来店済み,
2024/01/27,C00011,渋谷店,ランチ,6,18000,来店済み,
2024/01/07,C00012,銀座店,個室コース,5,40000,来店済み,
2024/01/26,C00013,新宿店,飲み放題,1,5000,来店済み,
2024/01/13,C00014,新宿店,個室コース,7,133000,来店済み,
2024/01/26,C00015,新宿店,ディナー,8,96000,来店済み,
2024/01/27,C00016,銀座店,飲み放題,2,12000,キャンセル,その他
2024/01/10,C00017,渋谷店,飲み放題,6,18000,キャンセル,天候
2024/01/15,C00018,新宿店,個室コース,3,57000,来店済み,
2024/01/26,C00019,渋谷店,飲み放題,10,60000,来店済み,
2024/01/24,C00020,渋谷店,ランチ,7,21000,来店済み,
2024/01/22,C00021,銀座店,ディナー,1,7000,来店済み,
2024/01/21,C00022,新宿店,ランチ,3,6000,来店済み,
2024/01/22,C00023,新宿店,飲み放題,7,21000,来店済み,
2024/01/19,C00024,新宿店,飲み放題,6,36000,来店済み,
2024/01/08,C00025,渋谷店,飲み放題,7,35000,来店済み,
2024/01/18,C00026,渋谷店,ランチ,3,9000,来店済み,
2024/01/20,C00027,渋谷店,飲み放題,5,30000,来店済み,
2024/01/15,C00028,新宿店,個室コース,4,36000,キャンセル,急用
2024/01/28,C00029,渋谷店,個室コース,2,40000,来店済み,
2024/01/28,C00030,新宿店,飲み放題,2,10000,来店済み,
2024/01/26,C00031,渋谷店,ディナー,6,48000,キャンセル,体調不良
2024/01/19,C00032,渋谷店,ディナー,8,40000,来店済み,
2024/01/03,C00033,新宿店,個室コース,9,90000,来店済み,
2024/01/25,C00034,渋谷店,飲み放題,7,42000,来店済み,
2024/01/15,C00035,新宿店,ランチ,3,9000,来店済み,
2024/01/05,C00036,新宿店,飲み放題,3,12000,来店済み,
2024/01/06,C00037,新宿店,ランチ,2,8000,キャンセル,体調不良
2024/01/09,C00038,新宿店,ディナー,6,54000,来店済み,
2024/01/03,C00039,渋谷店,飲み放題,3,15000,来店済み,
2024/01/24,C00040,銀座店,ディナー,10,70000,キャンセル,その他
2024/01/01,C00041,銀座店,飲み放題,10,30000,来店済み,
2024/01/25,C00042,渋谷店,ランチ,10,30000,来店済み,
2024/01/10,C00043,銀座店,個室コース,10,180000,キャンセル,その他
2024/01/22,C00044,銀座店,飲み放題,8,32000,来店済み,
2024/01/06,C00045,新宿店,飲み放題,8,24000,来店済み,
2024/01/20,C00046,新宿店,個室コース,8,120000,来店済み,
2024/01/05,C00047,渋谷店,飲み放題,6,30000,予約済み,
2024/01/09,C00048,新宿店,ランチ,6,12000,来店済み,
2024/01/28,C00049,新宿店,ディナー,3,18000,キャンセル,忘れ
2024/01/19,C00050,銀座店,個室コース,4,40000,来店済み,
2024/01/17,C00051,銀座店,飲み放題,4,16000,来店済み,
2024/01/17,C00052,新宿店,個室コース,5,75000,キャンセル,忘れ
2024/01/16,C00053,新宿店,ディナー,4,40000,キャンセル,天候
2024/01/14,C00054,銀座店,個室コース,5,80000,キャンセル,急用
2024/01/13,C00055,渋谷店,飲み放題,6,36000,来店済み,
2024/01/15,C00056,渋谷店,ディナー,6,54000,キャンセル,その他
2024/01/13,C00057,銀座店,飲み放題,10,30000,キャンセル,急用
2024/01/07,C00058,新宿店,飲み放題,9,45000,来店済み,
2024/01/23,C00059,銀座店,個室コース,9,72000,キャンセル,体調不良
2024/01/05,C00060,新宿店,個室コース,9,135000,キャンセル,その他
2024/01/24,C00061,新宿店,飲み放題,3,18000,予約済み,
2024/01/10,C00062,新宿店,飲み放題,9,54000,来店済み,
2024/01/14,C00063,新宿店,ランチ,6,18000,来店済み,
2024/01/21,C00064,銀座店,飲み放題,1,6000,来店済み,
2024/01/25,C00065,銀座店,ディナー,1,12000,キャンセル,その他
2024/01/23,C00066,新宿店,ディナー,4,20000,来店済み,
2024/01/05,C00067,渋谷店,ディナー,1,12000,来店済み,
2024/01/24,C00068,新宿店,ディナー,7,84000,来店済み,
2024/01/11,C00069,銀座店,ランチ,3,12000,来店済み,
2024/01/06,C00070,銀座店,個室コース,9,126000,来店済み,
2024/01/28,C00071,新宿店,飲み放題,9,45000,来店済み,
2024/01/09,C00072,銀座店,飲み放題,10,60000,キャンセル,体調不良
2024/01/23,C00073,銀座店,飲み放題,4,20000,来店済み,
2024/01/26,C00074,渋谷店,個室コース,6,90000,来店済み,
2024/01/18,C00075,銀座店,飲み放題,5,15000,来店済み,
2024/01/10,C00076,新宿店,個室コース,6,120000,来店済み,
2024/01/21,C00077,渋谷店,飲み放題,2,10000,予約済み,
2024/01/09,C00078,新宿店,個室コース,4,44000,来店済み,
2024/01/19,C00079,銀座店,飲み放題,3,9000,来店済み,
2024/01/02,C00080,渋谷店,ディナー,1,8000,来店済み,
2024/01/22,C00081,渋谷店,個室コース,6,114000,来店済み,
2024/01/16,C00082,渋谷店,ランチ,9,18000,来店済み,
2024/01/02,C00083,新宿店,ディナー,5,50000,来店済み,
2024/01/06,C00084,渋谷店,ディナー,9,45000,予約済み,
2024/01/06,C00085,新宿店,ディナー,1,11000,来店済み,
2024/01/20,C00086,銀座店,飲み放題,1,3000,来店済み,
2024/01/18,C00087,渋谷店,飲み放題,5,30000,予約済み,
