date,material_name,category,project_id,quantity,unit,unit_price,total_cost,supplier
2024-01-01,鉄筋D19,鉄鋼,P001,50,t,89000,4450000,ABC建材
2024-01-02,型枠合板,木材,P002,100,m3,25000,2500000,DEF木材
2024-01-03,生コンクリート,コンクリート,P001,80,m3,12000,960000,GHI生コン
2024-01-05,グラスウール100mm,断熱・防水,P003,200,m2,3500,700000,ABC建材
2024-01-08,複層ガラス,建具・ガラス,P004,150,枚,15000,2250000,JKL建具
2024-01-10,鉄筋D16,鉄鋼,P005,45,t,87000,3915000,DEF鋼材
2024-01-12,防水シート,断熱・防水,P002,300,m2,4200,1260000,GHI防水
2024-01-15,型枠合板,木材,P001,80,m3,25500,2040000,DEF木材
2024-02-01,生コンクリート,コンクリート,P003,100,m3,12500,1250000,GHI生コン
2024-02-03,グラスウール100mm,断熱・防水,P004,250,m2,3600,900000,ABC建材
2024-02-05,複層ガラス,建具・ガラス,P005,120,枚,15500,1860000,JKL建具
2024-02-08,鉄筋D19,鉄鋼,P002,55,t,91000,5005000,ABC建材
2024-02-10,型枠合板,木材,P003,95,m3,26000,2470000,DEF木材
2024-02-12,生コンクリート,コンクリート,P004,75,m3,12800,960000,GHI生コン
2024-02-15,防水シート,断熱・防水,P001,280,m2,4500,1260000,GHI防水
2024-02-18,グラスウール100mm,断熱・防水,P005,220,m2,3700,814000,ABC建材
2024-02-20,複層ガラス,建具・ガラス,P001,140,枚,16000,2240000,JKL建具
2024-03-01,鉄筋D16,鉄鋼,P003,50,t,92000,4600000,DEF鋼材
2024-03-03,型枠合板,木材,P004,110,m3,26500,2915000,DEF木材
2024-03-05,生コンクリート,コンクリート,P005,90,m3,13000,1170000,GHI生コン
2024-03-08,防水シート,断熱・防水,P002,310,m2,4600,1426000,GHI防水
2024-03-10,グラスウール100mm,断熱・防水,P001,240,m2,3800,912000,ABC建材
2024-03-12,複層ガラス,建具・ガラス,P003,160,枚,16200,2592000,JKL建具
2024-03-15,鉄筋D19,鉄鋼,P004,60,t,93000,5580000,ABC建材
2024-03-18,型枠合板,木材,P005,105,m3,27000,2835000,DEF木材
2024-04-01,生コンクリート,コンクリート,P001,85,m3,13200,1122000,GHI生コン
2024-04-03,防水シート,断熱・防水,P003,290,m2,4800,1392000,GHI防水
2024-04-05,グラスウール100mm,断熱・防水,P002,260,m2,3900,1014000,ABC建材
2024-04-08,複層ガラス,建具・ガラス,P004,150,枚,16500,2475000,JKL建具
2024-04-10,鉄筋D16,鉄鋼,P005,55,t,94000,5170000,DEF鋼材
2024-04-12,型枠合板,木材,P001,100,m3,27500,2750000,DEF木材
2024-04-15,生コンクリート,コンクリート,P002,95,m3,13400,1273000,GHI生コン
2024-04-18,防水シート,断熱・防水,P004,320,m2,4900,1568000,GHI防水
2024-04-20,グラスウール100mm,断熱・防水,P003,250,m2,4000,1000000,ABC建材
2024-05-01,複層ガラス,建具・ガラス,P005,165,枚,16800,2772000,JKL建具
2024-05-03,鉄筋D19,鉄鋼,P001,65,t,95000,6175000,ABC建材
2024-05-05,型枠合板,木材,P002,115,m3,28000,3220000,DEF木材
2024-05-08,生コンクリート,コンクリート,P003,100,m3,13600,1360000,GHI生コン
2024-05-10,防水シート,断熱・防水,P005,300,m2,5000,1500000,GHI防水
2024-05-12,グラスウール100mm,断熱・防水,P004,270,m2,4100,1107000,ABC建材
2024-05-15,複層ガラス,建具・ガラス,P001,155,枚,17000,2635000,JKL建具
2024-06-01,鉄筋D16,鉄鋼,P002,60,t,96000,5760000,DEF鋼材
2024-06-03,型枠合板,木材,P003,120,m3,28500,3420000,DEF木材
2024-06-05,生コンクリート,コンクリート,P004,105,m3,13800,1449000,GHI生コン
2024-06-08,防水シート,断熱・防水,P001,330,m2,5100,1683000,GHI防水
2024-06-10,グラスウール100mm,断熱・防水,P005,280,m2,4200,1176000,ABC建材
2024-06-12,複層ガラス,建具・ガラス,P002,170,枚,17200,2924000,JKL建具
2024-06-15,鉄筋D19,鉄鋼,P003,70,t,97000,6790000,ABC建材
2024-06-20,型枠合板,木材,P004,110,m3,29000,3190000,DEF木材
2024-06-25,生コンクリート,コンクリート,P005,110,m3,14000,1540000,GHI生コン
2024-06-30,防水シート,断熱・防水,P002,340,m2,5200,1768000,GHI防水
