date,job_id,customer,vehicle_type,service_type,labor_hours,parts_cost,labor_rate,status
2024-01-01,J001,顧客A,軽自動車,定期点検,2.0,5000,8000,完了
2024-01-02,J002,顧客B,普通車,車検,4.5,15000,8000,完了
2024-01-03,J003,顧客C,SUV,修理,3.0,25000,8000,作業中
2024-01-04,J004,顧客D,トラック,タイヤ交換,1.5,8000,8000,完了
2024-01-05,J005,顧客E,軽自動車,オイル交換,0.5,3000,8000,完了
2024-01-06,J006,顧客F,普通車,定期点検,2.5,6000,8000,完了
2024-01-07,J007,顧客G,SUV,修理,5.0,35000,8000,作業中
2024-01-08,J008,顧客H,トラック,車検,6.0,20000,8000,完了
2024-01-09,J009,顧客I,軽自動車,タイヤ交換,1.0,7500,8000,完了
2024-01-10,J010,顧客J,普通車,オイル交換,0.5,2500,8000,完了
2024-02-01,J011,顧客K,軽自動車,定期点検,2.0,5500,8000,完了
2024-02-02,J012,顧客L,普通車,修理,4.0,28000,8000,完了
2024-02-03,J013,顧客M,SUV,車検,5.5,18000,8000,作業中
2024-02-04,J014,顧客N,トラック,オイル交換,1.0,4000,8000,完了
2024-02-05,J015,顧客O,軽自動車,修理,3.5,22000,8000,完了
2024-02-06,J016,顧客P,普通車,定期点検,2.5,5800,8000,完了
2024-02-07,J017,顧客Q,SUV,タイヤ交換,2.0,12000,8000,完了
2024-02-08,J018,顧客R,トラック,修理,6.0,40000,8000,待機中
2024-02-09,J019,顧客S,軽自動車,車検,4.0,14000,8000,完了
2024-02-10,J020,顧客T,普通車,タイヤ交換,1.5,9000,8000,完了
2024-03-01,J021,顧客U,軽自動車,オイル交換,0.5,2800,8000,完了
2024-03-02,J022,顧客V,普通車,定期点検,2.0,5400,8000,完了
2024-03-03,J023,顧客W,SUV,修理,4.5,32000,8000,完了
2024-03-04,J024,顧客X,トラック,車検,5.5,19000,8000,作業中
2024-03-05,J025,顧客Y,軽自動車,修理,3.0,20000,8000,完了
2024-03-06,J026,顧客Z,普通車,オイル交換,0.5,2600,8000,完了
2024-03-07,J027,顧客AA,SUV,タイヤ交換,2.5,13500,8000,完了
2024-03-08,J028,顧客AB,トラック,定期点検,3.0,8000,8000,完了
2024-03-09,J029,顧客AC,軽自動車,修理,4.0,26000,8000,待機中
2024-03-10,J030,顧客AD,普通車,車検,4.5,16500,8000,完了
2024-03-11,J031,顧客AE,軽自動車,定期点検,2.0,5200,8000,完了
2024-03-12,J032,顧客AF,普通車,修理,3.5,24000,8000,完了
2024-03-13,J033,顧客AG,SUV,オイル交換,1.0,4500,8000,完了
2024-03-14,J034,顧客AH,トラック,タイヤ交換,2.0,11000,8000,作業中
2024-03-15,J035,顧客AI,軽自動車,車検,4.5,15500,8000,完了
2024-03-16,J036,顧客AJ,普通車,定期点検,2.5,5700,8000,完了
2024-03-17,J037,顧客AK,SUV,修理,5.0,33000,8000,完了
2024-03-18,J038,顧客AL,トラック,オイル交換,1.0,3500,8000,完了
2024-03-19,J039,顧客AM,軽自動車,タイヤ交換,1.5,8500,8000,完了
2024-03-20,J040,顧客AN,普通車,修理,4.0,27000,8000,完了
