project_id,project_name,phase,planned_start,planned_end,actual_start,actual_end,planned_cost,actual_cost,progress_pct
P001,○○ビル新築工事,基礎工事,2024-01-01,2024-02-29,2024-01-05,2024-03-10,10000000,10500000,95
P001,○○ビル新築工事,躯体工事,2024-03-01,2024-05-31,2024-03-10,2024-06-15,15000000,15800000,85
P001,○○ビル新築工事,内装工事,2024-06-01,2024-08-31,2024-06-15,,12000000,11800000,60
P002,△△改修工事,基礎工事,2024-01-10,2024-02-15,2024-01-15,2024-02-28,8000000,8200000,100
P002,△△改修工事,躯体工事,2024-02-20,2024-04-30,2024-03-05,2024-05-05,12000000,13500000,90
P002,△△改修工事,内装工事,2024-05-01,2024-07-15,2024-05-10,,9000000,9300000,50
P003,□□駐車場新設,基礎工事,2024-01-05,2024-02-10,2024-01-12,2024-02-25,5000000,4800000,100
P003,□□駐車場新設,躯体工事,2024-02-15,2024-03-31,2024-02-25,2024-04-10,8000000,8500000,95
P003,□□駐車場新設,内装工事,2024-04-01,2024-05-15,2024-04-15,,6000000,5900000,70
P004,●●商業施設改築,基礎工事,2024-01-20,2024-03-10,2024-01-25,2024-03-20,20000000,21500000,100
P004,●●商業施設改築,躯体工事,2024-03-15,2024-06-15,2024-03-25,2024-06-30,25000000,27000000,80
P004,●●商業施設改築,内装工事,2024-06-20,2024-09-30,2024-07-05,,18000000,19200000,40
P005,♯♯工場建設,基礎工事,2024-02-01,2024-03-31,2024-02-08,2024-04-05,15000000,14200000,100
P005,♯♯工場建設,躯体工事,2024-04-05,2024-07-05,2024-04-10,2024-07-10,20000000,21500000,88
P005,♯♯工場建設,内装工事,2024-07-10,2024-09-30,2024-07-15,,16000000,15800000,55
P006,★★橋梁補修工事,基礎工事,2024-01-15,2024-02-28,2024-01-18,2024-03-10,7000000,7300000,100
P006,★★橋梁補修工事,躯体工事,2024-03-01,2024-04-30,2024-03-08,2024-05-08,10000000,11200000,92
P006,★★橋梁補修工事,内装工事,2024-05-01,2024-06-30,2024-05-10,,8000000,8100000,65
P007,◆◆学校改修工事,基礎工事,2024-01-10,2024-02-20,2024-01-12,2024-02-22,9000000,8700000,100
P007,◆◆学校改修工事,躯体工事,2024-02-25,2024-04-30,2024-02-28,2024-05-05,13000000,12500000,96
P007,◆◆学校改修工事,内装工事,2024-05-05,2024-07-31,2024-05-10,,11000000,10800000,68
P008,◇◇病院新棟建設,基礎工事,2024-02-10,2024-04-10,2024-02-15,2024-04-18,25000000,26200000,100
P008,◇◇病院新棟建設,躯体工事,2024-04-15,2024-08-15,2024-04-20,2024-08-25,35000000,37500000,82
P008,◇◇病院新棟建設,内装工事,2024-08-20,2024-11-30,2024-08-28,,28000000,29800000,35
P009,▽▽住宅団地造成,基礎工事,2024-01-08,2024-02-25,2024-01-10,2024-03-05,12000000,11900000,100
P009,▽▽住宅団地造成,躯体工事,2024-03-01,2024-05-31,2024-03-05,2024-06-10,16000000,15300000,87
P009,▽▽住宅団地造成,内装工事,2024-06-05,2024-08-31,2024-06-15,,13000000,13500000,52
P010,▲▲庁舎改築工事,基礎工事,2024-01-22,2024-03-15,2024-01-28,2024-03-20,18000000,17800000,100
P010,▲▲庁舎改築工事,躯体工事,2024-03-20,2024-06-20,2024-03-28,2024-06-28,22000000,23100000,84
P010,▲▲庁舎改築工事,内装工事,2024-06-25,2024-09-30,2024-07-05,,19000000,19500000,58
