date,lot_id,reason_category,approver,quantity
2024-01-05,LOT-001,寸法外れ,品管部長,50
2024-01-08,LOT-002,外観不良,製造部長,80
2024-01-12,LOT-003,強度不足,品質保証課長,120
2024-01-15,LOT-004,その他,品管部長,30
2024-01-18,LOT-005,寸法外れ,製造部長,100
2024-01-22,LOT-006,外観不良,品質保証課長,65
2024-01-25,LOT-007,強度不足,品管部長,150
2024-01-28,LOT-008,寸法外れ,製造部長,45
2024-02-02,LOT-009,外観不良,品管部長,90
2024-02-05,LOT-010,その他,品質保証課長,75
2024-02-08,LOT-011,強度不足,製造部長,110
2024-02-12,LOT-012,寸法外れ,品管部長,55
2024-02-15,LOT-013,外観不良,製造部長,140
2024-02-18,LOT-014,寸法外れ,品質保証課長,85
2024-02-22,LOT-015,その他,品管部長,70
2024-02-25,LOT-016,強度不足,品管部長,125
2024-02-28,LOT-017,外観不良,製造部長,95
2024-02-28,LOT-018,寸法外れ,品質保証課長,60
2024-02-28,LOT-019,強度不足,品管部長,200
2024-02-28,LOT-020,その他,製造部長,40
